QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,APAPURCH,MJAPPL9_
20241,05286704,1,0,2,160,D,1,D,10,D,1149,D,,A,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286904,1,0,1,140,D,1,D,10,D,1800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287144,1,0,2,120,D,1,D,10,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287314,1,0,1,195,D,1,D,11,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287804,1,0,1,140,D,1,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288354,1,0,1,140,D,1,D,12,D,780,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288954,1,0,1,140,D,1,D,12,D,1962,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289334,1,0,1,140,D,1,D,11,D,210,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05289444,1,0,1,120,D,1,D,11,D,275,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289774,1,0,2,195,D,1,D,10,D,1300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290254,1,0,1,100,D,1,D,12,D,3100,D,,A,850,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05290254,2,0,1,160,D,1,D,12,D,2100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290254,3,0,1,140,D,1,D,12,D,2300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05290534,1,0,1,140,D,1,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290624,1,0,1,220,D,1,D,11,D,,H,,A,,A,220,D,195,D,,A,,A,,A,,A,,A,,A,,,A
20241,05290624,1,1,1,120,D,1,D,11,D,125,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290624,1,2,1,140,D,1,D,11,D,1050,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290624,1,3,1,195,D,1,D,11,D,425,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290764,1,0,1,180,D,1,D,10,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290764,2,0,1,195,D,1,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290914,1,0,2,140,D,1,D,10,D,850,D,,A,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05291324,1,0,1,120,D,1,D,11,D,345,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05291424,1,0,1,120,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05291544,1,0,1,160,D,1,D,10,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05291974,1,0,1,195,D,1,D,11,D,146,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05293594,1,0,1,120,D,1,D,10,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05293784,1,0,1,160,D,1,D,12,D,1100,D,,A,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05294074,1,0,1,140,D,1,D,11,D,2600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05294074,2,0,1,195,D,1,D,11,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05294844,1,0,1,195,D,1,D,12,D,1926,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05294944,1,0,1,140,D,1,D,10,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05295564,1,0,1,140,D,1,D,10,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05295974,1,0,1,160,D,1,D,11,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05296254,1,0,1,140,D,1,D,11,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05296724,1,0,1,180,D,1,D,12,D,195,D,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05296814,1,0,2,195,D,1,D,10,D,650,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05297184,1,0,1,100,D,1,D,12,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05297364,1,0,1,140,D,1,D,11,D,198,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,1,A
20241,05297654,1,0,1,195,D,1,D,10,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05343864,1,0,1,220,D,1,D,11,D,,H,,A,,A,160,D,100,D,140,D,,A,,A,,A,,A,,A,,,A
20241,05343864,1,1,1,100,D,1,D,11,D,1682,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05343864,1,2,1,140,D,1,D,11,D,1176,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,A
